v1,v2
 ham,ทรูเคียงคู่สู้โควิด มอบสิทธิ์ชมฟรี!ทรูวิชั่นส์ นาว ไลท์ สำหรับผู้ที่อยู่ในรพ.สนามทั่วประเทศ ชมความบันเทิง 24 ช่องทรูวิชั่นส์ได้ทันทีทางแอปทรูไอดี 30 วัน เพียงใส่รหัส FHBXHB3 รับสิทธิ์ชมที่แอปทรูไอดี คลิก bit.ly/welfh
spam,Flash TH030450H01G2H1 จัดส่งสำเร็จ รายละเอียด https://fli.pub/rky4I9
ham,คุณได้รับ 1 ทรูพอยท์จากการจ่ายผ่านทรูมันนี่ที่ 7-eleven คะแนนคงเหลือ 20 ทรูพอยท์ รับฟรีเน็ต10GB/และอีกเพียบ https://bit.ly/3ZOKTw0 เช็คคะแนนกด *999# โทรออก(ฟรี)
ham,ด่วน! โปรดแสกนใบหน้าในแอป Shopee กด Me (ฉัน) > ShopeePay ภายใน 31 ธ.ค.66
ham,ใหม่! มันม่วง จอมป่วน ซื้อเลยที่ LINE STORE จ่ายผ่านเบอร์ทรูที่ https://lin.ee/5W1olW9/Leph
ham,ขณะนี้บัตร M Pass เลข 4 ตัวท้าย 7882 ของท่านถึงกำหนดชำระแล้ว สามารถทำการชำระได้ที่ https://bit.ly/3ovGpJW (ลิ้งค์สามารถทำรายการได้ภายใน 10 วัน นับจากที่ได้รับ) บัตร M Pass สามารถใช้งานได้หลังจากการชำระโดยสมบูรณ์แล้ว 30 นาที ขออภัยหากท่านทำการชำระเงินแล้ว
ham,ขอเชิญชาวนนทบุรี ห่างไกลโรคหลอดเลือดสมอง ผ่านโครงการแสงนำใจไทยทั้งชาติ เดินวิ่งปั่น ป้องกันอัมพาต ครั้งที่ 9 เฉลิมพระเกียรติ วันที่ 29 ต.ค. 66 สมัครคลิก https://race.thai.run/wrb9nonthaburi
ham,สุขสันต์วันเกิด! เฉพาะคุณ รับฟรี บลิซซาร์ด ไซส์ควอท มูลค่า 259.- รสชาติใดก็ได้ เมื่อซื้อขั้นต่ำครบ 100.- m1b.cc/wZ1ciTn
ham,"ดูหนัง ดูซีรีส์เ ฟังเพลง เริ่มต้นวันละ 9บ.บนแพลตฟอร์มดัง เลือกเลย WeTV, iQiyi,VIU,TrueID+,YouTube แบบรายวัน 18ส.ค66-30ต.ค66 เพิ่มเติม/ซื้อแพ็ก tmvh.co/c318"
ham,แลกซื้อราคาพิเศษ @The Pizza Company ลูกค้าทรูแลกซื้อสปาเก็ตตี้ ทรีโอ้ เพียง 219บ. (ปกติ 239บ.) 1มค67-30มิย67 รับสิทธิ์ที่ https://bit.ly/3Okl2IK
ham,เฉพาะลูกค้าทรู! รับส่วนลด 30บ. @สุกี้ตี๋น้อย ใช้เพียง 149 ทรูพอยท์เท่านั้น สาวกตี๋น้อยอย่างเราห้ามพลาด 15ม.ค.67-31มี.ค.67 คลิก https://bit.ly/3O29vOe
ham,อั่งเปาตั่วตั่วไก๊ แพ็กเน็ตมงคลรับตรุษจีน 99GB 10วัน 299บาท เน็ตแรงเต็มสปีด เร็ว แรง เฮงๆ ซื้อกด900​8570#โทรออก ที่ทรูมันนี่ tmvh.co/1309 8ก.พ67-12ก.พ.67
ham,ห้ามพลาด! Free gifts ยังแจกต่อ ฟรี Samsung Galaxy S23 Ultra เฉพาะ 28 ม.ค. 67 เล่นฟรีที่ทรูไอดี คลิก! https://ttid.co/ln4U/e87nmqie
